UnixTime,104,107,10A,10B,10E,110,202
351,平飞,平飞,平飞,平飞,静止,静止,平飞
352,平飞,平飞,平飞,平飞,静止,静止,平飞
353,平飞,平飞,平飞,平飞,静止,静止,平飞
354,平飞,平飞,平飞,平飞,静止,静止,平飞
355,平飞,平飞,平飞,平飞,静止,静止,平飞
356,平飞,平飞,平飞,平飞,静止,静止,平飞
357,平飞,平飞,平飞,平飞,静止,静止,平飞
358,平飞,平飞,平飞,平飞,静止,静止,平飞
359,平飞,平飞,平飞,平飞,静止,静止,平飞
360,平飞,平飞,平飞,平飞,静止,静止,平飞
361,平飞,平飞,平飞,平飞,静止,静止,平飞
362,平飞,平飞,平飞,平飞,静止,静止,平飞
363,平飞,平飞,平飞,平飞,静止,静止,平飞
364,平飞,平飞,平飞,平飞,静止,静止,平飞
365,平飞,平飞,平飞,平飞,静止,静止,平飞
366,平飞,平飞,平飞,平飞,静止,静止,平飞
367,平飞,平飞,平飞,平飞,静止,静止,平飞
368,平飞,平飞,平飞,平飞,静止,静止,平飞
369,平飞,平飞,平飞,平飞,静止,静止,平飞
370,平飞,平飞,平飞,平飞,静止,静止,平飞
371,平飞,平飞,平飞,平飞,静止,静止,平飞
372,平飞,平飞,平飞,平飞,静止,静止,平飞
373,平飞,平飞,平飞,平飞,静止,静止,平飞
374,平飞,平飞,平飞,平飞,静止,静止,平飞
375,平飞,平飞,平飞,平飞,静止,静止,平飞
376,平飞,平飞,平飞,平飞,静止,静止,平飞
377,平飞,平飞,平飞,平飞,静止,静止,平飞
378,平飞,平飞,平飞,平飞,静止,静止,平飞
379,平飞,平飞,平飞,平飞,静止,静止,平飞
380,平飞,平飞,平飞,平飞,静止,静止,平飞
381,平飞,平飞,平飞,平飞,静止,静止,平飞
382,平飞,平飞,平飞,平飞,静止,静止,平飞
383,平飞,平飞,平飞,平飞,静止,静止,平飞
384,平飞,平飞,平飞,平飞,静止,静止,平飞
385,平飞,平飞,平飞,平飞,静止,静止,平飞
386,平飞,平飞,平飞,平飞,静止,静止,平飞
387,平飞,平飞,平飞,平飞,静止,静止,平飞
388,平飞,平飞,平飞,平飞,静止,静止,平飞
389,平飞,平飞,平飞,平飞,静止,静止,平飞
390,平飞,平飞,平飞,平飞,静止,静止,平飞
391,平飞,平飞,平飞,平飞,静止,静止,平飞
392,平飞,平飞,平飞,平飞,静止,静止,平飞
393,平飞,平飞,平飞,平飞,静止,静止,平飞
394,平飞,平飞,平飞,平飞,静止,静止,平飞
395,平飞,平飞,平飞,平飞,静止,静止,平飞
396,平飞,平飞,平飞,平飞,静止,静止,平飞
397,平飞,平飞,平飞,平飞,静止,静止,平飞
398,平飞,平飞,平飞,平飞,静止,静止,平飞
399,平飞,平飞,平飞,平飞,静止,静止,平飞
400,平飞,平飞,平飞,平飞,静止,静止,平飞
401,平飞,平飞,平飞,平飞,静止,静止,平飞
402,平飞,平飞,平飞,平飞,静止,静止,平飞
403,平飞,平飞,平飞,平飞,静止,静止,平飞
404,平飞,平飞,平飞,平飞,静止,静止,平飞
405,平飞,平飞,平飞,平飞,静止,静止,平飞
406,平飞,平飞,平飞,平飞,静止,静止,平飞
407,平飞,平飞,平飞,平飞,静止,静止,平飞
408,平飞,平飞,平飞,平飞,静止,静止,平飞
409,平飞,平飞,平飞,平飞,静止,静止,平飞
410,平飞,平飞,平飞,平飞,静止,静止,平飞
411,平飞,平飞,平飞,平飞,静止,静止,平飞
412,平飞,平飞,平飞,平飞,静止,静止,平飞
413,平飞,平飞,平飞,平飞,静止,静止,平飞
414,平飞,平飞,平飞,平飞,静止,静止,平飞
415,平飞,平飞,平飞,平飞,静止,静止,平飞
416,平飞,平飞,平飞,平飞,静止,静止,平飞
417,平飞,平飞,平飞,平飞,静止,静止,平飞
418,平飞,平飞,平飞,平飞,静止,静止,平飞
419,平飞,平飞,平飞,平飞,静止,静止,平飞
420,平飞,平飞,平飞,平飞,静止,静止,平飞
421,平飞,平飞,平飞,平飞,静止,静止,平飞
422,平飞,平飞,平飞,平飞,静止,静止,平飞
423,平飞,平飞,平飞,平飞,静止,静止,平飞
424,平飞,平飞,平飞,平飞,静止,静止,平飞
425,平飞,平飞,平飞,平飞,静止,静止,平飞
426,平飞,平飞,平飞,平飞,静止,静止,平飞
427,平飞,平飞,平飞,平飞,静止,静止,平飞
428,平飞,平飞,平飞,平飞,静止,静止,平飞
429,平飞,平飞,平飞,平飞,静止,静止,平飞
430,平飞,平飞,平飞,平飞,静止,静止,平飞
431,平飞,平飞,平飞,平飞,静止,静止,平飞
432,平飞,平飞,平飞,平飞,静止,静止,平飞
433,平飞,平飞,平飞,平飞,静止,静止,平飞
434,平飞,平飞,平飞,平飞,静止,静止,平飞
435,平飞,平飞,平飞,平飞,静止,静止,平飞
436,平飞,平飞,平飞,平飞,静止,静止,平飞
437,平飞,平飞,平飞,平飞,静止,静止,平飞
438,平飞,平飞,平飞,平飞,静止,静止,平飞
439,平飞,平飞,平飞,平飞,静止,静止,平飞
440,平飞,平飞,平飞,平飞,静止,静止,平飞
441,平飞,平飞,平飞,平飞,静止,静止,平飞
442,平飞,平飞,平飞,平飞,平飞,静止,平飞
443,平飞,平飞,平飞,平飞,平飞,静止,平飞
444,平飞,平飞,平飞,平飞,平飞,静止,平飞
445,平飞,平飞,平飞,平飞,平飞,静止,平飞
446,平飞,平飞,平飞,平飞,平飞,静止,平飞
447,平飞,平飞,平飞,平飞,平飞,静止,平飞
448,平飞,平飞,平飞,平飞,平飞,静止,平飞
449,平飞,平飞,平飞,平飞,平飞,静止,平飞
450,平飞,平飞,平飞,平飞,平飞,静止,平飞
451,平飞,平飞,平飞,平飞,平飞,静止,平飞
452,平飞,平飞,平飞,平飞,平飞,静止,平飞
453,平飞,平飞,平飞,平飞,平飞,静止,平飞
454,平飞,平飞,平飞,平飞,平飞,静止,平飞
455,平飞,平飞,平飞,平飞,平飞,静止,平飞
456,平飞,平飞,平飞,平飞,平飞,静止,平飞
457,平飞,平飞,平飞,平飞,平飞,静止,平飞
458,平飞,平飞,平飞,平飞,平飞,静止,平飞
459,平飞,平飞,平飞,平飞,平飞,静止,平飞
460,平飞,平飞,平飞,平飞,平飞,静止,平飞
461,平飞,平飞,平飞,平飞,平飞,静止,平飞
462,平飞,平飞,平飞,平飞,平飞,静止,平飞
463,平飞,平飞,平飞,平飞,平飞,静止,平飞
464,平飞,平飞,平飞,平飞,平飞,静止,平飞
465,平飞,平飞,平飞,平飞,平飞,静止,平飞
466,平飞,平飞,平飞,平飞,平飞,静止,平飞
467,平飞,平飞,平飞,平飞,平飞,静止,平飞
468,平飞,平飞,平飞,平飞,平飞,静止,平飞
469,平飞,平飞,平飞,平飞,平飞,静止,平飞
470,平飞,平飞,平飞,平飞,平飞,静止,平飞
471,平飞,平飞,平飞,平飞,平飞,静止,平飞
472,平飞,平飞,平飞,平飞,平飞,静止,平飞
473,平飞,平飞,平飞,平飞,平飞,静止,平飞
474,平飞,平飞,平飞,平飞,平飞,静止,平飞
475,平飞,平飞,平飞,平飞,平飞,静止,平飞
476,平飞,平飞,平飞,平飞,平飞,静止,平飞
477,平飞,平飞,平飞,平飞,平飞,静止,平飞
478,平飞,平飞,平飞,平飞,平飞,静止,平飞
479,平飞,平飞,平飞,平飞,平飞,静止,平飞
480,平飞,平飞,平飞,平飞,平飞,静止,平飞
481,平飞,平飞,平飞,平飞,平飞,静止,平飞
482,平飞,平飞,平飞,平飞,平飞,静止,平飞
483,平飞,平飞,平飞,平飞,平飞,静止,平飞
484,平飞,平飞,平飞,平飞,平飞,静止,平飞
485,平飞,平飞,平飞,平飞,平飞,静止,平飞
486,平飞,平飞,平飞,平飞,平飞,静止,平飞
487,平飞,平飞,平飞,平飞,平飞,静止,平飞
488,平飞,平飞,平飞,平飞,平飞,静止,平飞
489,平飞,平飞,平飞,平飞,平飞,静止,平飞
490,平飞,平飞,平飞,平飞,平飞,静止,平飞
491,平飞,平飞,平飞,平飞,平飞,静止,平飞
492,平飞,平飞,平飞,平飞,平飞,静止,平飞
493,平飞,平飞,平飞,平飞,平飞,静止,平飞
494,平飞,平飞,平飞,平飞,平飞,静止,平飞
495,平飞,平飞,平飞,平飞,平飞,静止,平飞
496,平飞,平飞,平飞,平飞,平飞,静止,平飞
497,平飞,平飞,平飞,平飞,平飞,静止,平飞
498,平飞,平飞,平飞,平飞,平飞,静止,平飞
499,平飞,平飞,平飞,平飞,平飞,静止,平飞
500,平飞,平飞,平飞,平飞,平飞,静止,平飞
501,平飞,平飞,平飞,平飞,平飞,静止,平飞
502,平飞,平飞,平飞,平飞,平飞,静止,平飞
503,平飞,平飞,平飞,平飞,平飞,静止,平飞
504,平飞,平飞,平飞,平飞,平飞,静止,平飞
505,平飞,平飞,平飞,平飞,平飞,静止,平飞
506,平飞,平飞,平飞,平飞,平飞,静止,平飞
507,平飞,平飞,平飞,平飞,平飞,静止,平飞
508,平飞,平飞,平飞,平飞,平飞,静止,平飞
509,平飞,平飞,平飞,平飞,平飞,静止,平飞
510,平飞,平飞,平飞,平飞,平飞,静止,平飞
511,平飞,平飞,平飞,平飞,平飞,静止,平飞
