UnixTime,105,107,108,10A,10B,10F,202
292,平飞,平飞,平飞,平飞,平飞,静止,平飞
293,平飞,平飞,平飞,平飞,平飞,静止,平飞
294,平飞,平飞,平飞,平飞,平飞,静止,平飞
295,平飞,平飞,平飞,平飞,平飞,平飞,平飞
296,平飞,平飞,平飞,平飞,平飞,平飞,平飞
297,平飞,平飞,平飞,平飞,平飞,平飞,平飞
298,平飞,平飞,平飞,平飞,平飞,平飞,平飞
299,平飞,平飞,平飞,平飞,平飞,平飞,平飞
300,平飞,平飞,平飞,平飞,平飞,平飞,平飞
301,平飞,平飞,平飞,平飞,平飞,平飞,平飞
302,平飞,平飞,平飞,平飞,平飞,平飞,平飞
303,平飞,平飞,平飞,平飞,平飞,平飞,平飞
304,平飞,平飞,平飞,平飞,平飞,平飞,平飞
305,平飞,平飞,平飞,平飞,平飞,平飞,平飞
306,平飞,平飞,平飞,平飞,平飞,平飞,平飞
307,平飞,平飞,平飞,平飞,平飞,平飞,平飞
308,平飞,平飞,平飞,平飞,平飞,平飞,平飞
309,平飞,平飞,平飞,平飞,平飞,平飞,平飞
310,平飞,平飞,平飞,平飞,平飞,平飞,平飞
311,平飞,平飞,平飞,平飞,平飞,平飞,平飞
312,平飞,平飞,平飞,平飞,平飞,平飞,平飞
313,平飞,平飞,平飞,平飞,平飞,平飞,平飞
314,平飞,平飞,平飞,平飞,平飞,平飞,平飞
315,平飞,平飞,平飞,平飞,平飞,平飞,平飞
316,平飞,平飞,平飞,平飞,平飞,平飞,平飞
317,平飞,平飞,平飞,平飞,平飞,平飞,平飞
318,平飞,平飞,平飞,平飞,平飞,平飞,平飞
319,平飞,平飞,平飞,平飞,平飞,平飞,平飞
320,平飞,平飞,平飞,平飞,平飞,平飞,平飞
321,平飞,平飞,平飞,平飞,平飞,平飞,平飞
322,平飞,平飞,平飞,平飞,平飞,平飞,平飞
323,平飞,平飞,平飞,平飞,平飞,平飞,平飞
324,平飞,平飞,平飞,平飞,平飞,平飞,平飞
325,平飞,平飞,平飞,平飞,平飞,平飞,平飞
326,平飞,平飞,平飞,平飞,平飞,平飞,平飞
